EVENT,DATE,LOCATION,WEIGHTCLASS,FIGHTER_R,FIGHTER_R_COLOR,FIGHTER_B,FIGHTER_B_COLOR,EVENT_URL,FIGHT_URL,WIN_METHOD,OUTCOME_FIGHTER,OUTCOME
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Welterweight,Nate Diaz,red,Tony Ferguson,blue,http://ufcstats.com/event-details/93bf96be327fcd98,http://ufcstats.com/fight-details/7e8fd03e070d0c25,Submission,Nate Diaz,0
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Catch Weight,Khamzat Chimaev,red,Kevin Holland,blue,http://ufcstats.com/event-details/93bf96be327fcd98,http://ufcstats.com/fight-details/0111e6a64b5184c6,Submission,Khamzat Chimaev,0
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Catch Weight,Li Jingliang,red,Daniel Rodriguez,blue,http://ufcstats.com/event-details/93bf96be327fcd98,http://ufcstats.com/fight-details/d3e23d7d207d3ccf,Decision - Split,Daniel Rodriguez,1
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Catch Weight,Irene Aldana,red,Macy Chiasson,blue,http://ufcstats.com/event-details/93bf96be327fcd98,http://ufcstats.com/fight-details/989b8d362742f40b,KO/TKO,Irene Aldana,0
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Light Heavyweight,Johnny Walker,red,Ion Cutelaba,blue,http://ufcstats.com/event-details/93bf96be327fcd98,http://ufcstats.com/fight-details/d869eaea38426f06,Submission,Johnny Walker,0
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Featherweight,Hakeem Dawodu,red,Julian Erosa,blue,http://ufcstats.com/event-details/93bf96be327fcd98,http://ufcstats.com/fight-details/0e6d624086f7952e,Decision - Unanimous,Julian Erosa,1
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Catch Weight,Jailton Almeida,red,Anton Turkalj,blue,http://ufcstats.com/event-details/93bf96be327fcd98,http://ufcstats.com/fight-details/301f230c90c4bd7d,Submission,Jailton Almeida,0
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Middleweight,Denis Tiuliulin,red,Jamie Pickett,blue,http://ufcstats.com/event-details/93bf96be327fcd98,http://ufcstats.com/fight-details/77acb96700e89c92,KO/TKO,Denis Tiuliulin,0
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Heavyweight,Jake Collier,red,Chris Barnett,blue,http://ufcstats.com/event-details/93bf96be327fcd98,http://ufcstats.com/fight-details/bf334cb4e63f3430,KO/TKO,Chris Barnett,1
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Women's Featherweight,Norma Dumont,red,Danyelle Wolf,blue,http://ufcstats.com/event-details/93bf96be327fcd98,http://ufcstats.com/fight-details/db3e26d02d790c97,Decision - Unanimous,Norma Dumont,0
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Bantamweight,Chad Anheliger,red,Alatengheili,blue,http://ufcstats.com/event-details/93bf96be327fcd98,http://ufcstats.com/fight-details/6010f681e54ba2cd,Decision - Unanimous,Alatengheili,1
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Women's Strawweight,Melissa Martinez,red,Elise Reed,blue,http://ufcstats.com/event-details/93bf96be327fcd98,http://ufcstats.com/fight-details/a5cf273faa3982b7,Decision - Unanimous,Elise Reed,1
UFC 279: Diaz vs. Ferguson,2022-09-10,"Las Vegas, Nevada, USA",Welterweight,Darian Weeks,red,Yohan Lainesse,blue,http://ufcstats.com/event-details/93bf96be327fcd98,http://ufcstats.com/fight-details/86d57e8ef2191316,Decision - Split,Yohan Lainesse,1
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Heavyweight,Ciryl Gane,red,Tai Tuivasa,blue,http://ufcstats.com/event-details/00a905a4a4a2b071,http://ufcstats.com/fight-details/810c9da07970c4a6,KO/TKO,Ciryl Gane,0
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Middleweight,Robert Whittaker,red,Marvin Vettori,blue,http://ufcstats.com/event-details/00a905a4a4a2b071,http://ufcstats.com/fight-details/b8ca1acdf3dc2f58,Decision - Unanimous,Robert Whittaker,0
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Middleweight,Nassourdine Imavov,red,Joaquin Buckley,blue,http://ufcstats.com/event-details/00a905a4a4a2b071,http://ufcstats.com/fight-details/20f316f96c9e4458,Decision - Unanimous,Nassourdine Imavov,0
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Middleweight,Alessio Di Chirico,red,Roman Kopylov,blue,http://ufcstats.com/event-details/00a905a4a4a2b071,http://ufcstats.com/fight-details/1a191251620a84ca,KO/TKO,Roman Kopylov,1
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Featherweight,William Gomis,red,Jarno Errens,blue,http://ufcstats.com/event-details/00a905a4a4a2b071,http://ufcstats.com/fight-details/398db40015b3c81c,Decision - Unanimous,William Gomis,0
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Featherweight,Charles Jourdain,red,Nathaniel Wood,blue,http://ufcstats.com/event-details/00a905a4a4a2b071,http://ufcstats.com/fight-details/acc9a109b00a99e1,Decision - Unanimous,Nathaniel Wood,1
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Middleweight,Abus Magomedov,red,Dustin Stoltzfus,blue,http://ufcstats.com/event-details/00a905a4a4a2b071,http://ufcstats.com/fight-details/cf9035f2fc2e232f,KO/TKO,Abus Magomedov,0
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Lightweight,John Makdessi,red,Nasrat Haqparast,blue,http://ufcstats.com/event-details/00a905a4a4a2b071,http://ufcstats.com/fight-details/7bced112f3229b1b,Decision - Unanimous,Nasrat Haqparast,1
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Lightweight,Fares Ziam,red,Michal Figlak,blue,http://ufcstats.com/event-details/00a905a4a4a2b071,http://ufcstats.com/fight-details/fd47032108b85cf0,Decision - Unanimous,Fares Ziam,0
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Lightweight,Benoit Saint Denis,red,Gabriel Miranda,blue,http://ufcstats.com/event-details/00a905a4a4a2b071,http://ufcstats.com/fight-details/3e2f00991f511607,KO/TKO,Benoit Saint Denis,0
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Bantamweight,Khalid Taha,red,Cristian Quinonez,blue,http://ufcstats.com/event-details/00a905a4a4a2b071,http://ufcstats.com/fight-details/ca7fd237c16cec84,KO/TKO,Cristian Quinonez,1
UFC Fight Night: Gane vs. Tuivasa,2022-09-03,"Paris, Ile-de-France, France",Women's Featherweight,Stephanie Egger,red,Ailin Perez,blue,http://ufcstats.com/event-details/00a905a4a4a2b071,http://ufcstats.com/fight-details/ce62a50e97d497f9,Submission,Stephanie Egger,0
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",UFC Welterweight Title,Kamaru Usman,red,Leon Edwards,blue,http://ufcstats.com/event-details/4f853e98886283cf,http://ufcstats.com/fight-details/f70c817388602681,KO/TKO,Leon Edwards,1
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Middleweight,Paulo Costa,red,Luke Rockhold,blue,http://ufcstats.com/event-details/4f853e98886283cf,http://ufcstats.com/fight-details/2de6652160cc7b9f,Decision - Unanimous,Paulo Costa,0
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Bantamweight,Jose Aldo,red,Merab Dvalishvili,blue,http://ufcstats.com/event-details/4f853e98886283cf,http://ufcstats.com/fight-details/2ac3ce1f62b3c4b9,Decision - Unanimous,Merab Dvalishvili,1
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Women's Bantamweight,Wu Yanan,red,Lucie Pudilova,blue,http://ufcstats.com/event-details/4f853e98886283cf,http://ufcstats.com/fight-details/2cd9e3796be57a79,KO/TKO,Lucie Pudilova,1
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Light Heavyweight,Tyson Pedro,red,Harry Hunsucker,blue,http://ufcstats.com/event-details/4f853e98886283cf,http://ufcstats.com/fight-details/5abcf9f282983acc,KO/TKO,Tyson Pedro,0
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Heavyweight,Marcin Tybura,red,Alexandr Romanov,blue,http://ufcstats.com/event-details/4f853e98886283cf,http://ufcstats.com/fight-details/e0b98f3cf4a7cc3b,Decision - Majority,Marcin Tybura,0
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Lightweight,Leonardo Santos,red,Jared Gordon,blue,http://ufcstats.com/event-details/4f853e98886283cf,http://ufcstats.com/fight-details/0cf7a4593fd44e59,Decision - Unanimous,Jared Gordon,1
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Welterweight,AJ Fletcher,red,Ange Loosa,blue,http://ufcstats.com/event-details/4f853e98886283cf,http://ufcstats.com/fight-details/4dac5258f22be059,Decision - Unanimous,Ange Loosa,1
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Flyweight,Amir Albazi,red,Francisco Figueiredo,blue,http://ufcstats.com/event-details/4f853e98886283cf,http://ufcstats.com/fight-details/6b9f82291930bfec,Submission,Amir Albazi,0
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Bantamweight,Aoriqileng,red,Jay Perrin,blue,http://ufcstats.com/event-details/4f853e98886283cf,http://ufcstats.com/fight-details/d497d74a0df9e35e,Decision - Unanimous,Aoriqileng,0
UFC 278: Usman vs. Edwards,2022-08-20,"Salt Lake City, Utah, USA",Flyweight,Daniel Da Silva,red,Victor Altamirano,blue,http://ufcstats.com/event-details/4f853e98886283cf,http://ufcstats.com/fight-details/06d6cde7479711ee,KO/TKO,Victor Altamirano,1
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Bantamweight,Marlon Vera,red,Dominick Cruz,blue,http://ufcstats.com/event-details/a23e63184c65f5b8,http://ufcstats.com/fight-details/11cc331fa40ede63,KO/TKO,Marlon Vera,0
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Featherweight,Nate Landwehr,red,David Onama,blue,http://ufcstats.com/event-details/a23e63184c65f5b8,http://ufcstats.com/fight-details/efd7efba85092c6f,Decision - Majority,Nate Landwehr,0
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Women's Strawweight,Yazmin Jauregui,red,Iasmin Lucindo,blue,http://ufcstats.com/event-details/a23e63184c65f5b8,http://ufcstats.com/fight-details/833d67f423315d18,Decision - Unanimous,Yazmin Jauregui,0
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Light Heavyweight,Devin Clark,red,Azamat Murzakanov,blue,http://ufcstats.com/event-details/a23e63184c65f5b8,http://ufcstats.com/fight-details/d19e010f071a4b45,KO/TKO,Azamat Murzakanov,1
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Women's Bantamweight,Priscila Cachoeira,red,Ariane Lipski,blue,http://ufcstats.com/event-details/a23e63184c65f5b8,http://ufcstats.com/fight-details/abd50fad1e7b030b,KO/TKO,Priscila Cachoeira,0
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Middleweight,Bruno Silva,red,Gerald Meerschaert,blue,http://ufcstats.com/event-details/a23e63184c65f5b8,http://ufcstats.com/fight-details/38b6ef176439c39b,Submission,Gerald Meerschaert,1
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Catch Weight,Angela Hill,red,Loopy Godinez,blue,http://ufcstats.com/event-details/a23e63184c65f5b8,http://ufcstats.com/fight-details/5f31f3e32669f5b9,Decision - Unanimous,Angela Hill,0
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Heavyweight,Martin Buday,red,Lukasz Brzeski,blue,http://ufcstats.com/event-details/a23e63184c65f5b8,http://ufcstats.com/fight-details/b96c8fef6c9f92db,Decision - Split,Martin Buday,0
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Women's Flyweight,Cynthia Calvillo,red,Nina Nunes,blue,http://ufcstats.com/event-details/a23e63184c65f5b8,http://ufcstats.com/fight-details/8986373b4a6e90b6,Decision - Split,Nina Nunes,1
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Lightweight,Gabriel Benitez,red,Charlie Ontiveros,blue,http://ufcstats.com/event-details/a23e63184c65f5b8,http://ufcstats.com/fight-details/f858f91453555291,KO/TKO,Gabriel Benitez,0
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Flyweight,Ode Osbourne,red,Tyson Nam,blue,http://ufcstats.com/event-details/a23e63184c65f5b8,http://ufcstats.com/fight-details/0823f97be9c3a62e,KO/TKO,Tyson Nam,1
UFC Fight Night: Vera vs. Cruz,2022-08-13,"San Diego, California, USA",Catch Weight,Jason Witt,red,Josh Quinlan,blue,http://ufcstats.com/event-details/a23e63184c65f5b8,http://ufcstats.com/fight-details/7f9a331bc3100afd,KO/TKO,Josh Quinlan,1
UFC Fight Night: Santos vs. Hill,2022-08-06,"Las Vegas, Nevada, USA",Light Heavyweight,Thiago Santos,red,Jamahal Hill,blue,http://ufcstats.com/event-details/8f6a18831a120817,http://ufcstats.com/fight-details/a8bc6e005077bb0b,KO/TKO,Jamahal Hill,1
UFC Fight Night: Santos vs. Hill,2022-08-06,"Las Vegas, Nevada, USA",Welterweight,Vicente Luque,red,Geoff Neal,blue,http://ufcstats.com/event-details/8f6a18831a120817,http://ufcstats.com/fight-details/a6b328733d610e2b,KO/TKO,Geoff Neal,1
UFC Fight Night: Santos vs. Hill,2022-08-06,"Las Vegas, Nevada, USA",Heavyweight,Mohammed Usman,red,Zac Pauga,blue,http://ufcstats.com/event-details/8f6a18831a120817,http://ufcstats.com/fight-details/36f38c2534ef646b,KO/TKO,Mohammed Usman,0
UFC Fight Night: Santos vs. Hill,2022-08-06,"Las Vegas, Nevada, USA",Women's Flyweight,Brogan Walker,red,Juliana Miller,blue,http://ufcstats.com/event-details/8f6a18831a120817,http://ufcstats.com/fight-details/2b11aa4b90b1dd41,KO/TKO,Juliana Miller,1
UFC Fight Night: Santos vs. Hill,2022-08-06,"Las Vegas, Nevada, USA",Heavyweight,Augusto Sakai,red,Serghei Spivac,blue,http://ufcstats.com/event-details/8f6a18831a120817,http://ufcstats.com/fight-details/044d210d7b1eb519,KO/TKO,Serghei Spivac,1
UFC Fight Night: Santos vs. Hill,2022-08-06,"Las Vegas, Nevada, USA",Lightweight,Terrance McKinney,red,Erick Gonzalez,blue,http://ufcstats.com/event-details/8f6a18831a120817,http://ufcstats.com/fight-details/b530bb13aac1e48b,Submission,Terrance McKinney,0
UFC Fight Night: Santos vs. Hill,2022-08-06,"Las Vegas, Nevada, USA",Middleweight,Sam Alvey,red,Michal Oleksiejczuk,blue,http://ufcstats.com/event-details/8f6a18831a120817,http://ufcstats.com/fight-details/eda397c27787afa4,KO/TKO,Michal Oleksiejczuk,1
UFC Fight Night: Santos vs. Hill,2022-08-06,"Las Vegas, Nevada, USA",Welterweight,Bryan Battle,red,Takashi Sato,blue,http://ufcstats.com/event-details/8f6a18831a120817,http://ufcstats.com/fight-details/4adef20ce69217be,KO/TKO,Bryan Battle,0
UFC Fight Night: Santos vs. Hill,2022-08-06,"Las Vegas, Nevada, USA",Women's Strawweight,Cory McKenna,red,Miranda Granger,blue,http://ufcstats.com/event-details/8f6a18831a120817,http://ufcstats.com/fight-details/b5274277ef6707c9,Submission,Cory McKenna,0
UFC Fight Night: Santos vs. Hill,2022-08-06,"Las Vegas, Nevada, USA",Women's Bantamweight,Mayra Bueno Silva,red,Stephanie Egger,blue,http://ufcstats.com/event-details/8f6a18831a120817,http://ufcstats.com/fight-details/a274ed04c36d40d4,Submission,Mayra Bueno Silva,0
UFC 277: Pena vs. Nunes 2,2022-07-30,"Dallas, Texas, USA",UFC Women's Bantamweight Title,Julianna Pena,red,Amanda Nunes,blue,http://ufcstats.com/event-details/b0a6124751a56bc4,http://ufcstats.com/fight-details/72c3e5eacde4f0e5,Decision - Unanimous,Amanda Nunes,1
